valuationDate,sectorCategory,DENOM_CURR_CDE,spread
4/17/2006,Credit_AAA-BBB,GBP,73
4/17/2006,Credit_AAA-A,USD,69
4/17/2006,Credit_AAA-A,EUR,35
4/17/2006,Credit_AAA-A,GBP,68
4/17/2006,Credit_AAA-AA,USD,56
4/17/2006,Credit_AAA-AA,EUR,25
4/17/2006,Credit_AAA-AA,GBP,53
4/17/2006,Credit_US CORP 1-10,USD,80
4/17/2006,Credit_glagg_crd_1_5YRS,USD,57
4/17/2006,Credit_glagg_crd_1_5YRS,EUR,31
4/17/2006,Credit_glagg_crd_1_5YRS,GBP,43
4/17/2006,Credit_glagg_crd_1_3YRS,USD,47
4/17/2006,Credit_glagg_crd_1_3YRS,EUR,26
4/17/2006,Credit_glagg_crd_1_3YRS,GBP,34
4/17/2006,Credit_glagg _crd>5.0YRS,USD,101
4/17/2006,Credit_glagg _crd>5.0YRS,EUR,62
4/17/2006,Credit_glagg _crd>5.0YRS,GBP,92
4/17/2006,Credit_glagg_crd_exJPY_aa_3,USD,58
4/17/2006,Credit_glagg_crd_exJPY_aa_3,EUR,30
4/17/2006,Credit_glagg_crd_exJPY_aa_3,GBP,52
4/17/2006,Credit_glagg_crd_exJPY_exBBB,USD,70
4/17/2006,Credit_glagg_crd_exJPY_exBBB,EUR,38
4/17/2006,Credit_glagg_crd_exJPY_exBBB,GBP,68
4/17/2006,Credit_Global Agg (Original),USD,61
4/17/2006,Credit_Global Agg (Original),EUR,19
4/17/2006,Credit_Global Agg (Original),GBP,31
4/18/2006,Agency,USD,35
4/18/2006,Agency,EUR,21
4/18/2006,Agency,GBP,17
4/18/2006,ABS,USD,46
4/18/2006,CMBS,USD,66
4/18/2006,MBS,USD,95
4/18/2006,Credit_AAA-BBB,USD,83
4/18/2006,Credit_AAA-BBB,EUR,42
4/18/2006,Credit_AAA-BBB,GBP,73
4/18/2006,Credit_AAA-A,USD,69
4/18/2006,Credit_AAA-A,EUR,34
4/18/2006,Credit_AAA-A,GBP,67
4/18/2006,Credit_AAA-AA,USD,56
4/18/2006,Credit_AAA-AA,EUR,25
4/18/2006,Credit_AAA-AA,GBP,53
4/18/2006,Credit_US CORP 1-10,USD,79
4/18/2006,Credit_glagg_crd_1_5YRS,USD,57
4/18/2006,Credit_glagg_crd_1_5YRS,EUR,30
4/18/2006,Credit_glagg_crd_1_5YRS,GBP,42
4/18/2006,Credit_glagg_crd_1_3YRS,USD,46
4/18/2006,Credit_glagg_crd_1_3YRS,EUR,25
4/18/2006,Credit_glagg_crd_1_3YRS,GBP,33
4/18/2006,Credit_glagg _crd>5.0YRS,USD,101
4/18/2006,Credit_glagg _crd>5.0YRS,EUR,62
4/18/2006,Credit_glagg _crd>5.0YRS,GBP,92
4/18/2006,Credit_glagg_crd_exJPY_aa_3,USD,58
4/18/2006,Credit_glagg_crd_exJPY_aa_3,EUR,30
4/18/2006,Credit_glagg_crd_exJPY_aa_3,GBP,52
4/18/2006,Credit_glagg_crd_exJPY_exBBB,USD,69
4/18/2006,Credit_glagg_crd_exJPY_exBBB,EUR,38
4/18/2006,Credit_glagg_crd_exJPY_exBBB,GBP,67
4/18/2006,Credit_Global Agg (Original),USD,61
4/18/2006,Credit_Global Agg (Original),EUR,19
4/18/2006,Credit_Global Agg (Original),GBP,30
4/19/2006,Agency,USD,35
4/19/2006,Agency,EUR,22
4/19/2006,Agency,GBP,18
4/19/2006,ABS,USD,45
4/19/2006,CMBS,USD,66
4/19/2006,MBS,USD,93
4/19/2006,Credit_AAA-BBB,USD,83
4/19/2006,Credit_AAA-BBB,EUR,42
4/19/2006,Credit_AAA-BBB,GBP,73
4/19/2006,Credit_AAA-A,USD,69
4/19/2006,Credit_AAA-A,EUR,34
4/19/2006,Credit_AAA-A,GBP,68
4/19/2006,Credit_AAA-AA,USD,56
4/19/2006,Credit_AAA-AA,EUR,25
4/19/2006,Credit_AAA-AA,GBP,53
4/19/2006,Credit_US CORP 1-10,USD,80
4/19/2006,Credit_glagg_crd_1_5YRS,USD,57
4/19/2006,Credit_glagg_crd_1_5YRS,EUR,30
4/19/2006,Credit_glagg_crd_1_5YRS,GBP,43
4/19/2006,Credit_glagg_crd_1_3YRS,USD,47
4/19/2006,Credit_glagg_crd_1_3YRS,EUR,25
4/19/2006,Credit_glagg_crd_1_3YRS,GBP,33
4/19/2006,Credit_glagg _crd>5.0YRS,USD,101
4/19/2006,Credit_glagg _crd>5.0YRS,EUR,62
