Date, tu.1c_pvbp:internal ,fv.1c_pvbp:internal,ty.1c_pvbp:internal,us.1c_pvbp:internal
2007-03-19, 1.9620 , 4.2573 ,6.5186, 11.41 
2007-03-20, 1.9618 , 4.2598 ,6.5276, 11.44 
2007-03-21, 1.9608 , 4.2675 ,6.5427, 11.47 
2007-03-22, 1.9552 , 4.2505 ,6.5068, 11.34 
2007-03-23, 1.9487 , 4.2371 ,6.4865, 11.31 
2007-03-26, 1.9456 , 4.2411 ,6.4956, 11.33 
2007-03-27, 1.9417 , 4.2341 ,6.4816, 11.29 
2007-03-28, 1.9387 , 4.2327 ,6.4787, 11.27 
2007-03-29, 1.9349 , 4.2240 ,6.4667, 11.26 
2007-03-30, 1.9255 , 4.2137 ,6.4502, 11.21 
2007-04-02, 1.9232 , 4.2112 ,6.4493, 11.22 
2007-04-03, 1.9182 , 4.2017 ,6.4351, 11.19 
2007-04-04, 1.9165 , 4.2034 ,6.4405, 11.20 
2007-04-05, 1.9132 , 4.1987 ,6.4266, 11.17 
2007-04-06, 1.8995 , 4.1707 ,6.3784, 11.06 
2007-04-09, 1.8965 , 4.1689 ,6.3789, 11.07 
2007-04-10, 1.8960 , 4.1690 ,6.3852, 11.09 
2007-04-11, 1.8923 , 4.1640 ,6.3748, 11.07 
2007-04-12, 1.8890 , 4.1570 ,6.3715, 11.07 
2007-04-13, 1.8796 , 4.1437 ,6.3515, 11.03 
2007-04-16, 1.8775 , 4.1437 ,6.3591, 11.07 
2007-04-17, 1.8777 , 4.1529 ,6.3788, 11.14 
2007-04-18, 1.8764 , 4.1571 ,6.3937, 11.18 
2007-04-19, 1.8739 , 4.1534 ,6.3858, 11.16 
2007-04-20, 1.8658 , 4.1446 ,6.3776, 11.15 
2007-04-23, 1.8714 , 4.1491 ,6.3853, 11.17 
2007-04-24, 1.8828 , 4.1502 ,6.3966, 11.20 
2007-04-25, 1.8787 , 4.1423 ,6.3826, 11.16 
2007-04-26, 1.8579 , 4.1330 ,6.3602, 11.10 
2007-04-27, 1.8520 , 4.1208 ,6.3473, 11.07 
2007-04-30, 1.8492 , 4.1319 ,6.3777, 11.18 
2007-05-01, 1.8601 , 4.1252 ,6.3675, 11.17 
2007-05-02, 1.8513 , 4.1207 ,6.3619, 11.17 
2007-05-03, 1.8522 , 4.1082 ,6.3444, 11.13 
2007-05-04, 1.8293 , 4.1070 ,6.353, 11.18 
2007-05-07, 1.8421 , 4.1040 ,6.351, 11.19 
2007-05-08, 1.8207 , 4.1027 ,6.3498, 11.17 
2007-05-09, 1.8304 , 4.0900 ,6.3252, 11.10 
2007-05-10, 1.8235 , 4.0931 ,6.3352, 11.12 
2007-05-11, 1.8043 , 4.0798 ,6.3151, 11.08 
2007-05-14, 1.8025 , 4.0724 ,6.3025, 11.06 
2007-05-15, 1.7975 , 4.0650 ,6.2899, 11.02 
2007-05-16, 1.8108 , 4.0636 ,6.2879, 11.03 
2007-05-17, 1.7915 , 4.0503 ,6.2623, 11.20 
2007-05-18, 1.7822 , 4.0338 ,6.2317, 10.88 
2007-05-21, 1.7784 , 4.0330 ,6.2345, 10.90 
2007-05-22, 1.7745 , 4.0251 ,6.2125, 10.83 
2007-05-23, 1.7917 , 4.0185 ,6.1988, 10.79 
2007-05-24, 1.7889 , 4.0123 ,6.1957, 10.79 
2007-05-25, 1.7775 , 3.9986 ,6.1823, 10.77 
2007-05-29, 1.7733 , 3.9897 ,6.1674, 10.75 
2007-05-30, 1.7501 , 3.9853 ,6.1667, 10.75 
2007-05-31, 1.9909 , 4.2681 ,6.3251, 10.94 
2007-06-01, 1.9886 , 4.2539 ,6.2872, 10.85 
2007-06-04, 1.9760 , 4.2447 ,6.2919, 10.89 
2007-06-05, 1.9733 , 4.2402 ,6.2699, 10.82 
2007-06-06, 1.9714 , 4.2444 ,6.2763, 10.82 
2007-06-07, 1.9712 , 4.2296 ,6.2951, 10.66 
2007-06-08, 1.9578 , 4.2328 ,6.316, 10.70 
2007-06-11, 1.9552 , 4.2167 ,6.324, 10.67 
2007-06-12, 1.9513 , 4.2175 ,6.636, 10.75 
2007-06-13, 1.9461 , 4.2041 ,6.6053, 10.81 
2007-06-14, 1.9434 , 4.1952 ,6.567, 10.73 
2007-06-15, 1.9365 , 4.1871 ,6.433, 10.71 
2007-06-18, 1.9345 , 4.1908 ,6.4654, 10.77 
2007-06-19, 1.9316 , 4.1835 ,6.4398, 10.70 
2007-06-20, 1.9297 , 4.1852 ,6.433, 10.71 
2007-06-21, 1.9276 , 4.1833 ,6.4762, 10.65 
2007-06-22, 1.9220 , 4.1844 ,6.4561, 10.69 
2007-06-25, 1.9216 , 4.1793 ,6.4079, 10.70 
2007-06-26, 1.9181 , 4.1875 ,6.312, 10.73 
2007-06-27, 1.9161 , 4.1916 ,6.3407, 10.75 
2007-06-28, 1.9100 , 4.1849 ,6.3631, 10.68 
2007-06-29, 1.9056 , 4.1724 ,6.3359, 10.72 
2007-07-02, 1.9011 , 4.1726 ,6.3294, 10.74 
2007-07-03, 1.8944 , 4.1637 ,6.3198, 10.67 
2007-07-05, 1.8889 , 4.1581 ,6.3442, 10.57 
2007-07-06, 1.8793 , 4.1412 ,6.3694, 10.54 
2007-07-09, 1.8753 , 4.1414 ,6.3017, 10.56 
2007-07-10, 1.8779 , 4.1483 ,6.3282, 10.70 
2007-07-11, 1.8740 , 4.1434 ,6.3511, 10.66 
2007-07-12, 1.8709 , 4.1331 ,6.3975, 10.60 
2007-07-13, 1.8609 , 4.1273 ,6.3498, 10.59 
2007-07-16, 1.8607 , 4.1339 ,6.317, 10.67 
2007-07-17, 1.8564 , 4.1303 ,6.333, 10.62 
2007-07-18, 1.8569 , 4.1171 ,6.3165, 10.67 
2007-07-19, 1.8564 , 4.1156 ,6.3098, 10.67 
2007-07-20, 1.8492 , 4.1158 ,6.3328, 10.77 
2007-07-23, 1.8452 , 4.1098 ,6.2576, 10.73 
2007-07-24, 1.8490 , 4.1113 ,6.2581, 10.72 
2007-07-25, 1.8469 , 4.1232 ,6.2527, 10.77 
2007-07-26, 1.8727 , 4.1554 ,6.3268, 10.89 
2007-07-27, 1.8655 , 4.1410 ,6.2754, 10.86 
2007-07-30, 1.8613 , 4.1328 ,6.2333, 10.83 
2007-07-31, 1.8585 , 4.1305 ,6.2351, 10.86 
2007-08-01, 1.8418 , 4.1285 ,6.243, 10.86 
2007-08-02, 1.8517 , 4.1222 ,6.2287, 10.89 
2007-08-03, 1.8394 , 4.1301 ,6.2474, 10.91 
2007-08-06, 1.8334 , 4.1179 ,6.229, 10.85 
2007-08-07, 1.8255 , 4.1091 ,6.2105, 10.85 
2007-08-08, 1.8109 , 4.0833 ,6.1955, 10.69 
2007-08-09, 1.8188 , 4.1020 ,6.2686, 10.71 
2007-08-10, 1.8077 , 4.0958 ,6.3088, 10.74 
2007-08-13, 1.7994 , 4.0902 ,6.3161, 10.75 
2007-08-14, 1.7999 , 4.1001 ,6.3148, 10.81 
2007-08-15, 1.8020 , 4.1121 ,6.3048, 10.79 
2007-08-16, 1.8094 , 4.1445 ,6.3335, 10.89 
2007-08-17, 1.7931 , 4.1209 ,6.3232, 10.80 
2007-08-20, 1.8050 , 4.1896 ,6.3045, 10.86 
2007-08-21, 1.8032 , 4.1646 ,6.3122, 10.96 
2007-08-22, 1.7919 , 4.1361 ,6.2875, 10.91 
2007-08-23, 1.7984 , 4.1339 ,6.2753, 10.88 
2007-08-24, 1.7687 , 4.1054 ,6.2744, 10.90 
2007-08-27, 1.7677 , 4.0875 ,6.2243, 10.95 
2007-08-28, 1.7712 , 4.1135 ,6.2861, 10.99 
2007-08-29, 1.7665 , 4.1165 ,6.2771, 10.96 
2007-08-30, 1.7654 , 4.1279 ,6.3036, 11.05 
2007-08-31, 2.0157 , 4.3758 ,6.6096, 11.54 
2007-09-04, 2.0131 , 4.3732 ,6.6068, 11.47 
2007-09-05, 2.0164 , 4.3941 ,6.65, 11.60 
2007-09-06, 2.0114 , 4.3799 ,6.6264, 11.58 
