,zScore,residual,sd,r2Adj,r2,alpha.pVal,beta.pVal,alpha,beta,slope,hedgeY,hedgeX,dailyTri,tri,alpha.factorRank,beta.factorRank
2003-09-16,0.178664944,0.002432303,0.013613765,0.102619922,0.20232882,0.728946872,0.192120484,1.689595525,-0.967716391,-6.19E-06,1,0.002785466,-0.005905368,0.282879818,1,9
2003-09-17,-1.772923354,-0.029366556,0.016563917,0.080781923,0.182917265,0.654501211,0.217599676,2.669676944,-1.109379896,-7.13E-06,1,0.003206948,-0.096181354,0.186698464,1,7
2003-09-18,-0.983776703,-0.017953073,0.018249134,0.362333538,0.433185367,0.180924491,0.038551291,7.30722593,-1.778787924,-1.10E-05,1,0.004938741,-0.007986799,0.178711664,1,10
2003-09-19,-1.43368536,-0.030117116,0.021006782,0.511538597,0.565812086,0.053442072,0.012078554,11.78181995,-2.424587354,-1.49E-05,1,0.006727229,-0.07096946,0.107742205,1,9
2003-09-22,-2.09469523,-0.05230442,0.024969943,0.462643303,0.522349603,0.061722594,0.018206986,13.88829455,-2.729917147,-1.74E-05,1,0.007846392,-0.079751081,0.027991123,1,5
2003-09-23,-0.62634852,-0.014817625,0.023657156,0.517369817,0.570995393,0.041927215,0.011473976,14.43812563,-2.809900329,-1.75E-05,1,0.007856899,0.078399986,0.106391109,1,7
2003-09-24,-1.450949699,-0.044806999,0.030881152,0.112639086,0.211234743,0.447786453,0.181427866,6.052152287,-1.601041542,-1.05E-05,1,0.004702842,-0.143952867,-0.037561758,1,1
2003-09-25,-0.817579719,-0.025575227,0.031281631,-0.080564494,0.039498228,0.834438813,0.58202135,-1.381747736,-0.529572004,-3.41E-06,1,0.001535209,-0.04642,-0.083981758,1,1
2003-09-26,-0.416615948,-0.011272341,0.027056913,-0.12237211,0.002335902,0.350722304,0.894522174,-4.444238636,-0.088592336,-5.66E-07,1,0.000254809,-0.010297189,-0.094278947,1,1
2003-09-29,-0.079859362,-0.001495744,0.018729728,-0.114630043,0.009217739,0.083797172,0.791905409,-5.876210639,0.117220706,7.35E-07,1,-0.000330643,0.000727648,-0.093551299,1,3
2003-09-30,1.663647399,0.021671962,0.013026776,0.109074505,0.208066227,0.256049855,0.185164597,-2.318185293,-0.396806491,-2.53E-06,1,0.001140372,0.097685489,0.004134191,1,1
2003-10-01,1.881439504,0.029309569,0.015578268,0.079358421,0.18165193,0.416066434,0.219372054,-1.982941031,-0.445048459,-2.76E-06,1,0.001241545,0.023630725,0.027764916,1,6
