,1,2,3,4,5,6,7,8,9,10,11,12,13
144,15006.6137,14871.12054,-369.2471386,-15937.07268,-11583.29263,-7848.285098,-12786.58091,0,0,0,0,0,0
145,-1898,17629.9942,-10057.33323,7116.110367,1162.394774,25519.39879,0,0,0,0,0,0,0
146,25519.39879,2298.506136,13751.71977,0,0,0,0,0,0,0,0,0,0
147,13751.71977,10963.41031,-14373.60124,468.443778,15198.07966,14792.67833,8395.633634,0,0,0,0,0,0
148,-2190,4343.02922,18724.84352,0,0,0,0,0,0,0,0,0,0
149,18724.84352,2020.442559,1119.288685,-27288.41635,-30104.01673,0,0,0,0,0,0,0,0
150,-1898,14323.34474,-3043.244072,74.82310575,-3564.38035,14448.91354,-5421.237421,-10274.11482,6022.639444,14037.86012,0,0,0
151,14037.86012,9224.006139,15266.72587,-52751.99501,15772.76329,15078.76091,16862.68722,13590.8458,0,0,0,0,0
152,-1898,14774.97518,-10683.94148,10975.45347,8230.631323,-22356.58932,-9794.196267,14404.81931,0,0,0,0,0
153,14404.81931,10725.96034,-30714.26625,-1528.957495,-48561.56867,0,0,0,0,0,0,0,0
154,-2336,20145.20495,6177.640665,0,0,0,0,0,0,0,0,0,0
155,-2190,9283.211297,0,0,0,0,0,0,0,0,0,0,0
156,9283.211297,-19173.59619,11685.99004,-10679.12728,1249.772548,-2285.519196,-33924.04356,0,0,0,0,0,0
157,-2628,-15390.01211,-20660.40357,0,0,0,0,0,0,0,0,0,0
158,-2336,18649.79379,0,0,0,0,0,0,0,0,0,0,0
159,18649.79379,7295.663653,0,0,0,0,0,0,0,0,0,0,0
160,7295.663653,-11006.37081,-17009.4867,0,0,0,0,0,0,0,0,0,0
161,-1898,6862.26076,-16085.26303,8296.98811,-15688.91967,-3495.157105,530.2003836,8670.943951,7683.988352,0,0,0,0
162,7683.988352,15276.43123,-16.09221133,11557.40784,0,0,0,0,0,0,0,0,0
163,11557.40784,9414.915898,0,0,0,0,0,0,0,0,0,0,0
164,9414.915898,-7846.450773,-5950.485112,17373.65284,-136.0448409,14429.39448,3419.630695,17810.1897,0,0,0,0,0
165,-2920,11583.94153,0,0,0,0,0,0,0,0,0,0,0
166,11583.94153,-5742.416327,17499.23344,0,0,0,0,0,0,0,0,0,0
167,17499.23344,32599.67941,0,0,0,0,0,0,0,0,0,0,0
168,32599.67941,-11336.83917,12488.38275,0,0,0,0,0,0,0,0,0,0
169,12488.38275,9205.560917,19110.76507,0,0,0,0,0,0,0,0,0,0
170,19110.76507,-6532.397564,12671.89442,0,0,0,0,0,0,0,0,0,0
171,12671.89442,7276.414531,-16596.55347,-38016.69141,0,0,0,0,0,0,0,0,0
172,-1606,10606.63923,-21648.29423,8868.970094,20972.45657,1125.731513,-13660.30987,-6794.008548,11848.70768,17170.03203,0,0,0
173,17170.03203,-2447.844421,-3702.544205,-4952.400881,12462.81903,0,0,0,0,0,0,0,0
174,12462.81903,21003.22944,0,0,0,0,0,0,0,0,0,0,0
