Date,fncl_4.5_1n_spread_duration:jpmorgan,fncl_5.0_1n_spread_duration:jpmorgan,fncl_5.5_1n_spread_duration:jpmorgan,fncl_6.0_1n_spread_duration:jpmorgan,fncl_6.5_1n_spread_duration:jpmorgan,fncl_7.0_1n_spread_duration:jpmorgan,fncl_7.5_1n_spread_duration:jpmorgan,fncl_8.0_1n_spread_duration:jpmorgan,fncl_8.5_1n_spread_duration:jpmorgan
2004-07-19 15:00:00,6.14841,5.90234,5.36507,4.58417,3.37424,3.1714,2.83195,2.32559,2.37613
2004-07-20 15:00:00,6.18246,5.96152,5.45679,4.7017,3.48492,3.25059,2.89131,2.37114,2.4074
2004-07-21 15:00:00,6.19817,5.98492,5.48646,4.73477,3.51108,3.2666,2.90188,2.37845,2.41136
2004-07-22 15:00:00,6.18582,5.96475,5.45478,4.69259,3.46914,3.23371,2.8757,2.35713,2.39559
2004-07-23 15:00:00,6.19382,5.96961,5.44808,4.67033,3.43982,3.20805,2.85276,2.33593,2.37839
2004-07-26 15:00:00,6.21062,5.99736,5.48888,4.71759,3.48271,3.23881,2.87491,2.35287,2.38989
2004-07-27 15:00:00,6.27705,6.1006,5.63984,4.91303,3.67056,3.38309,2.9847,2.44095,2.4552
2004-07-28 15:00:00,6.2708,6.09199,5.62596,4.89418,3.65231,3.37014,2.97532,2.43413,2.45137
2004-07-29 15:00:00,6.26509,6.07964,5.60441,4.8633,3.62228,3.34763,2.95799,2.42083,2.44267
2004-07-30 15:00:00,6.21165,5.99511,5.48674,4.72225,3.49527,3.25188,2.88533,2.36352,2.40138
2004-08-02 15:00:00,6.2612,6.01868,5.44409,4.74781,3.4226,3.17709,2.82428,2.34,2.37002
2004-08-03 15:00:00,6.22167,5.96914,5.38231,4.68814,3.37246,3.14264,2.80116,2.32287,2.35798
2004-08-04 15:00:00,6.23211,5.98377,5.40201,4.70846,3.38867,3.15324,2.80792,2.32731,2.3611
2004-08-05 15:00:00,6.21087,5.9525,5.35577,4.65785,3.34528,3.12156,2.78306,2.30843,2.34685
2004-08-06 15:00:00,6.09406,5.77244,5.0977,4.39161,3.12733,2.97367,2.67632,2.23112,2.29643
2004-08-09 15:00:00,6.06094,5.7446,5.08441,4.40106,3.19713,3.04539,2.74549,2.29168,2.34385
2004-08-10 15:00:00,6.07979,5.78455,5.14771,4.47105,3.25801,3.08225,2.76719,2.30817,2.35341
2004-08-11 15:00:00,6.08094,5.78453,5.14123,4.45891,3.24361,3.06973,2.7561,2.2988,2.34648
2004-08-12 15:00:00,6.05177,5.73613,5.07354,4.38777,3.18346,3.02462,2.71883,2.27018,2.32579
2004-08-13 15:00:00,6.03007,5.70586,5.02808,4.33929,3.14036,2.99807,2.70864,2.26148,2.3211
2004-08-16 15:00:00,6.06654,5.75543,5.09573,4.40814,3.19618,3.03494,2.73173,2.27925,2.33369
2004-08-17 15:00:00,5.9971,5.66461,4.97979,4.29856,3.1109,2.97782,2.69596,2.25152,2.31486
2004-08-18 15:00:00,6.00031,5.68029,5.01592,4.34762,3.15768,3.01388,2.72103,2.27406,2.33258
2004-08-19 15:00:00,5.98914,5.66002,4.98409,4.31557,3.13194,2.99721,2.71206,2.26443,2.32533
2004-08-20 15:00:00,6.00529,5.68395,5.01802,4.35053,3.15973,3.01546,2.72411,2.27313,2.33075
2004-08-23 15:00:00,6.0508,5.74659,5.10029,4.43086,3.22547,3.05928,2.74998,2.29302,2.34397
2004-08-24 15:00:00,6.06055,5.75746,5.11416,4.44589,3.23321,3.0656,2.75391,2.29534,2.34535
2004-08-25 15:00:00,6.06177,5.7533,5.10406,4.43342,3.21966,3.05956,2.74573,2.28825,2.33846
2004-08-26 15:00:00,6.03408,5.71305,5.04408,4.37109,3.16395,3.01776,2.71468,2.2629,2.31954
2004-08-27 15:00:00,6.04916,5.72939,5.06207,4.38538,3.17558,3.02658,2.72,2.2666,2.32193
2004-08-30 15:00:00,6.01373,5.67517,4.98637,4.30978,3.11402,2.98315,2.68878,2.24315,2.30457
2004-08-31 15:00:00,5.95478,5.59123,4.88057,4.2134,3.03955,2.93046,2.65202,2.2165,2.28602
2004-09-01 15:00:00,5.95457,5.58934,4.85555,4.12129,2.97127,2.88325,2.61571,2.18523,2.24055
2004-09-02 15:00:00,6.01027,5.67241,4.97446,4.2407,3.06493,2.94752,2.66035,2.2177,2.26489
2004-09-03 15:00:00,6.08414,5.78561,5.13109,4.39165,3.17979,3.02211,2.71048,2.25194,2.28648
2004-09-07 15:00:00,6.03975,5.71433,5.02311,4.27754,3.08356,2.95015,2.65729,2.21054,2.25584
2004-09-08 15:00:00,5.98981,5.62795,4.89663,4.14854,2.97912,2.87746,2.60709,2.17212,2.22954
2004-09-09 15:00:00,6.04675,5.70334,4.99198,4.23586,3.0434,2.91848,2.63441,2.19277,2.24284
2004-09-10 15:00:00,5.97899,5.61487,4.89354,4.17687,3.05385,2.93955,2.65923,2.21715,2.26459
2004-09-13 15:00:00,5.96858,5.59106,4.85824,4.13975,3.02128,2.91909,2.64485,2.20679,2.25706
2004-09-14 15:00:00,5.94407,5.54882,4.79394,4.07227,2.96434,2.88188,2.61872,2.18727,2.2433
2004-09-15 15:00:00,5.97738,5.5945,4.85656,4.13272,3.01193,2.91449,2.64196,2.20401,2.25505
2004-09-16 15:00:00,5.8844,5.4569,4.674,3.96387,2.88243,2.82764,2.58286,2.16194,2.22615
2004-09-17 15:00:00,5.93505,5.5432,4.80345,4.09082,2.9804,2.89263,2.62777,2.19477,2.24771
2004-09-20 15:00:00,5.87343,5.44634,4.66567,3.95848,2.87513,2.81975,2.5768,2.15664,2.22037
2004-09-21 15:00:00,5.82256,5.38657,4.60348,3.90796,2.83922,2.79033,2.55701,2.14261,2.21009
2004-09-22 15:00:00,5.74991,5.29008,4.49561,3.82032,2.78064,2.74983,2.53181,2.12643,2.19899
2004-09-23 15:00:00,5.74678,5.30994,4.54618,3.87844,2.83577,2.78553,2.55813,2.14825,2.21477
2004-09-24 15:00:00,5.74626,5.31174,4.55006,3.88694,2.84542,2.78848,2.56,2.14973,2.21514
2004-09-27 15:00:00,5.71132,5.2635,4.49544,3.84068,2.81229,2.76614,2.5459,2.13965,2.20881
2004-09-28 15:00:00,5.7279,5.2925,4.53816,3.88511,2.84745,2.79436,2.56672,2.15541,2.22183
2004-09-29 15:00:00,5.80489,5.40771,4.68633,4.02313,2.95253,2.86736,2.61763,2.19273,2.24853
2004-09-30 15:00:00,5.84122,5.46112,4.75513,4.08998,3.00584,2.90604,2.64481,2.2128,2.26422
