Date,fncl_4.5_1n_partial_duration_30y:internal,fncl_5.0_1n_partial_duration_30y:internal,fncl_5.5_1n_partial_duration_30y:internal,fncl_6.0_1n_partial_duration_30y:internal,fncl_6.5_1n_partial_duration_30y:internal,fncl_7.0_1n_partial_duration_30y:internal,fncl_7.5_1n_partial_duration_30y:internal,fncl_8.0_1n_partial_duration_30y:internal,fncl_8.5_1n_partial_duration_30y:internal
"2007-10-01 15:00:00",1.08941,1.14083,0.91605,0.63744,0.5674,0.44184,0.29368,0.13642,0.15362
"2007-10-02 15:00:00",1.09199,1.13945,0.9102,0.62996,0.55972,0.43391,0.29068,0.13536,0.15257
"2007-10-03 15:00:00",1.09758,1.14615,0.91132,0.62815,0.55611,0.43004,0.28975,0.13424,0.15152
"2007-10-04 15:00:00",1.07538,1.11863,0.88558,0.60564,0.53734,0.41504,0.2846,0.13216,0.14944
"2007-10-05 15:00:00",1.13606,1.19362,0.96351,0.67595,0.60023,0.47046,0.30717,0.14352,0.15988
"2007-10-09 15:00:00",1.15065,1.21034,0.97426,0.682,0.60541,0.47157,0.30821,0.14352,0.15988
"2007-10-10 15:00:00",1.17151,1.23561,0.99454,0.69495,0.61545,0.47665,0.3084,0.14352,0.15884
"2007-10-11 15:00:00",1.18698,1.25606,1.0122,0.70655,0.62503,0.48196,0.31157,0.14458,0.15988
"2007-10-12 15:00:00",1.2016,1.27796,1.03158,0.72022,0.63521,0.48815,0.31365,0.14458,0.15988
"2007-10-15 15:00:00",1.20139,1.2787,1.03736,0.72528,0.63938,0.49228,0.31583,0.14666,0.16093
"2007-10-16 15:00:00",1.19533,1.27342,1.03582,0.72851,0.64365,0.49671,0.31692,0.1477,0.16198
"2007-10-17 15:00:00",1.14525,1.20244,0.96653,0.67045,0.59493,0.46216,0.30378,0.14157,0.1578
"2007-10-18 15:00:00",1.13617,1.18655,0.95045,0.65557,0.58229,0.45119,0.29978,0.13953,0.15675
"2007-10-19 15:00:00",1.09128,1.12672,0.88678,0.60349,0.53902,0.41736,0.2865,0.13344,0.15257
"2007-10-22 15:00:00",1.05261,1.08518,0.85235,0.57936,0.51754,0.40389,0.28127,0.13136,0.15048
"2007-10-23 15:00:00",1.08236,1.11629,0.87654,0.59498,0.52944,0.40758,0.28253,0.13143,0.15048
"2007-10-24 15:00:00",1.03948,1.06141,0.82326,0.54995,0.49222,0.37793,0.27223,0.12728,0.14734
"2007-10-25 15:00:00",1.04904,1.07358,0.83662,0.56191,0.50438,0.3863,0.27537,0.12832,0.14839
"2007-10-26 15:00:00",1.07647,1.1121,0.87433,0.59241,0.52952,0.40688,0.28161,0.13145,0.15152
"2007-10-29 15:00:00",1.06594,1.09545,0.8541,0.5746,0.51345,0.39351,0.27742,0.12832,0.14839
"2007-10-30 15:00:00",1.08079,1.11403,0.87079,0.58672,0.52271,0.39971,0.27952,0.12937,0.14944
"2007-10-31 15:00:00",1.1643,1.18867,0.94044,0.63966,0.54558,0.41396,0.29086,0.14606,0.16198
"2007-11-01 15:00:00",1.12163,1.15149,0.91459,0.61663,0.52673,0.41751,0.29531,0.13669,0.1578
"2007-11-02 15:00:00",1.10625,1.13714,0.90316,0.60724,0.52094,0.41361,0.29448,0.13673,0.15884
"2007-11-05 15:00:00",1.13866,1.18291,0.95074,0.64777,0.55568,0.44211,0.30464,0.14091,0.16198
"2007-11-06 15:00:00",1.15888,1.21332,0.99229,0.6879,0.59003,0.46978,0.31497,0.1461,0.16511
"2007-11-07 15:00:00",1.15146,1.20547,0.99016,0.69187,0.59421,0.47593,0.31678,0.14812,0.1672
"2007-11-08 15:00:00",1.1537,1.20566,0.99819,0.71076,0.61238,0.49784,0.32704,0.15647,0.17347
"2007-11-09 15:00:00",1.12217,1.16851,0.95833,0.67159,0.57815,0.47214,0.31692,0.15021,0.16929
"2007-11-13 15:00:00",1.12905,1.17677,0.96234,0.67313,0.57882,0.47203,0.31587,0.14917,0.16929
"2007-11-14 15:00:00",1.12869,1.17581,0.95621,0.66363,0.57005,0.46486,0.31378,0.14708,0.1672
"2007-11-15 15:00:00",1.1059,1.14531,0.92987,0.64287,0.55333,0.44863,0.3076,0.14499,0.16616
"2007-11-16 15:00:00",1.11134,1.15559,0.94336,0.65735,0.56609,0.45878,0.31064,0.14708,0.1672
"2007-11-19 15:00:00",1.08227,1.1241,0.91602,0.63384,0.54706,0.44545,0.30564,0.14504,0.16511
